name,n_issues,nh_length
"Alton Street",6,0.1357114205643025
"Pine Rock Avenue",11,0.06609627681836858
"Anthony Drive",15,0.03498722304768378
"Hemlock Road",21,0.3148510160505695
"Day Street",11,0.1496854500827309
"Wall Street",52,0.6197134936573886
"Marvel Road",28,0.127676206317218
"Fort Hale Road",40,0.7290797153339663
"Field Street",2,0.1050173708541281
"Houston Street",16,0.1052526651881451
"Ward Street",13,0.1904371203549706
"Chamberlain Street",3,0.2173345597445076
"Thorn Street",4,0.1245535274040785
"Scranton Street",17,0.3139224551738471
"Essex Street",4,0.3037137115516447
"Genesee Street",2,0.06011930735618534
"Poplar Street",96,0.3208610711371239
"Marion Street",6,0.08949473036033199
"Bristol Street",18,0.3610569301336303
"Pope Street",15,0.2720676328329338
"Ocean View Street",16,0.1174109262468662
"Wallace Street",15,0.1633060671958314
"Canal Street",3,0.2630001441762557
"Roosevelt Street",17,0.07704105039290636
"Ann Street",20,0.1514036004769382
"Wilmont Road",2,0.3794781402540893
"East Ferry Street",3,0.2141202995919651
"Sherland Avenue",30,0.11568441801352
"Elmer Street",11,0.1336955672306447
"Upson Terrace",50,0.5207902910199661
"Ivy Street",32,0.5997862841734123
"Mansion Street",26,0.06023448922830004
"Bassett Street",64,0.923442978038616
"Cart Road",1,0.1270065713011244
"Saint John Street",72,0.3004722217214383
"South Frontage Road",12,0.7092947383223123
"Whittlesey Avenue",30,0.1033689174463583
"Clark Street",71,0.2561113722692917
"Trumbull Street",86,0.5370371024477218
"Vernon Street",20,0.1547999578068656
"Norton Parkway",158,0.9471054157731831
"Vista Terrace",54,0.1426730771137717
"Davenport Avenue",55,0.8852346312762134
"Elaine Terrace",14,0.09732321872924325
"Sheldon Terrace",21,0.1184801174248533
"Cove Street",22,0.5240122262380671
"Young Street",27,0.09236677193581329
"Chambers Street",14,0.2399234996969756
"Spencer Place",8,0.08066536784633681
"Pearl Street",126,0.320982955610586
"Oakley Street",24,0.1421289063841688
"Lowin Avenue",10,0.1037905075117331
"College Street",172,0.5248558066935534
"Academy Street",46,0.03878356703186067
"Portland Street",6,0.1041878818706682
"Terrace Street",13,0.175626697149898
"Grove Street",60,0.6299575948986579
"Johnston Street",1,0.05123862352184447
"Salem Street",11,0.06648640487961932
"Fournier Street",10,0.2696975089366834
"Nelson Street",23,0.1281935922295792
"Howard Street",12,0.2066036806527318
"Alston Avenue",61,0.2456259821102429
"Frances Hunter Drive",8,0.1585802771069274
"Townsend Avenue",316,1.24272206646847
"Arthur Street",8,0.05786239744005912
"Dover Street",63,0.3421906878488506
"Florence Avenue",17,0.1747578479474844
"Page Street",3,0.1112454970541937
"Arch Street",46,0.1525653646781234
"Ashmun Street",36,0.3020931819231374
"Dodge Avenue",1,0.05905876762591394
"Mitchell Drive",33,0.3423739665854916
"Orchard Avenue",2,0.08097932017227889
"Stimson Road",49,0.1601222696884507
"Byron Place",11,0.1203151587864216
"Washington Avenue",26,0.8682066874184657
"Edwards Street",135,0.9585828482010378
"Elliot Street",21,0.1242935558981974
"Dewitt Street",8,0.1568888533370389
"Foxon Hill Road",20,0.3412255869892853
"Porter Street",32,0.09510612976939389
