name,length
"Genesee Street",0.06011930735618534
"Poplar Street",0.3208610711371239
"Marion Street",0.08949473036033199
"Bristol Street",0.3610569301336303
"Pope Street",0.2720676328329338
"Ocean View Street",0.1174109262468662
"Wallace Street",0.1633060671958314
"Canal Street",0.2630001441762557
"Roosevelt Street",0.07704105039290636
"Ann Street",0.1514036004769382
"Wilmont Road",0.3841516547271035
"East Ferry Street",0.2141202995919651
"Sherland Avenue",0.11568441801352
"Elmer Street",0.1336955672306447
"Upson Terrace",0.5207902910199661
"Ivy Street",0.5997862841734123
"Mansion Street",0.06023448922830004
"Bassett Street",0.923442978038616
"Cart Road",0.1270065713011244
"Saint John Street",0.3004722217214383
"South Frontage Road",0.7092947383223123
"Whittlesey Avenue",0.1033689174463583
"Clark Street",0.2561113722692917
"Trumbull Street",0.5370371024477218
"Vernon Street",0.1547999578068656
"Norton Parkway",0.9471054157731831
"Vista Terrace",0.1426730771137717
"Davenport Avenue",0.8852346312762134
"Elaine Terrace",0.09732321872924325
"Sheldon Terrace",0.1184801174248533
"Cove Street",0.5240122262380671
"Young Street",0.09236677193581329
"Chambers Street",0.2399234996969756
"Spencer Place",0.08066536784633681
"Pearl Street",0.320982955610586
"Oakley Street",0.1421289063841688
"Lowin Avenue",0.1037905075117331
"College Street",0.5248558066935534
"Academy Street",0.03878356703186067
"Portland Street",0.1041878818706682
"Terrace Street",0.175626697149898
"Grove Street",0.6299575948986579
"Johnston Street",0.05123862352184447
"Salem Street",0.06648640487961932
"Fournier Street",0.2696975089366834
"Nelson Street",0.1281935922295792
"Howard Street",0.2066036806527318
"Alston Avenue",0.2456259821102429
"Frances Hunter Drive",0.1585802771069274
"Townsend Avenue",1.24272206646847
"Arthur Street",0.05786239744005912
"Dover Street",0.3421906878488506
"Florence Avenue",0.1747578479474844
"Page Street",0.1112454970541937
"Arch Street",0.1525653646781234
"Ashmun Street",0.3020931819231374
"Dodge Avenue",0.09660729694946103
"Mitchell Drive",0.3423739665854916
"Orchard Avenue",0.08097932017227889
"Stimson Road",0.1601222696884507
"Byron Place",0.1203151587864216
"Washington Avenue",0.8682066874184657
"Edwards Street",0.9585828482010378
"Elliot Street",0.1242935558981974
"Dewitt Street",0.1568888533370389
"Foxon Hill Road",0.3707465944139995
"Porter Street",0.09510612976939389
"Harper Avenue",0.2555485535523737
"Boston Post Road",0
"Asylum Street",0.09970578753297329
"Portsea Street",0.4491265406865101
"Pardee Place",0.03134560275725201
"Sea Street",0.5185994547210167
"Center Street",0.1046627059276153
"Mountain Top Drive",0
"Nicoll Street",0.3493866555719363
"Goodyear Street",0.08728028711954207
"Rowe Street",0.1500756638593782
"Oxford Street",0.1812281202424713
"Dayton Street",0.03950647972337645
"Farnham Avenue",0.3001206639961705
"West Park Avenue",0.2851546065824784
"Foxon Street",0.1483648289111437
"Park Avenue",0.179527053233752
"Green Street",0
"Dorman Street",0.2724491263274823
"Emerson Street",0.109554222385015
"Clifton Street",0.8160521870843724
"River Street",0.6485869191220391
"Beech Street",0.04332094818204557
"Eastern Street",0.4424630728240607
"Rock View Terrace",0.1081604708571019
"Tower Parkway",0.6000186693063894
"Wilcox Place",0.09690349436226037
"Plymouth Street",0.1755069905688494
"Gando Drive",0.3689871046893157
"Warwick Street",0.2263308481586471
"York Street",0.5168018138418995
"John W Murphy Drive",0.2524125139328114
"Stanley Street",0.2378527700974831
"Cassius Street",0.1461878882927042
"Mill Street",0.04930479057480478
"Ferry Street",0.624744238537659
"Lake Place",0.2504082280252152
"University Place",0.1104889541113035
"Lawncrest Road",0.4109376028138239
"Ley Street",0.2839209859490321
"Brookside Avenue",0.4897232006324653
"Munson Street",1.015470772163128
"West Elm Street",0.7095280950778236
"Cooper Place",0.2763853675709462
"May Street",0.09102334217447093
"Waterfront Street",0.1805361945059251
"Stevens Street",0.1393638957667305
"Plant Street",0.1075060349447492
"South Street",0.03541095551088368
"Phillip Street",0.1009346252055514
"Middletown Avenue",2.183350076195176
"Lewis Street",0.02939262953405758
"Townsend Street",0.03965890040573857
"Ramsdell Street",0.2945843153295444
"Lighthouse Road",0.607674332667128
"Laura Street",0.149484451742761
"Hobart Street",0.2008621500852043
"Rosette Street",0.6157202118066677
"Forest Road",0.4252357048762346
"Uriah Street",0.09024306951572775
"Hallock Avenue",0.206384793979023
"Foote Street",0.3498311856287878
"Sunset Drive",0.1691877588682391
"Victory Drive",0.1596160435471589
"Emily Road",0.2318817543162756
"East Street",0.3855839905388088
"Barnes Avenue",0.4487887951250278
"Hilltop Road",0.1426086347055006
"1st Avenue",0.1381223295793206
"Court Street",0.4445741786298322
"Read Street",0.4803008879127134
"English Street",0.3424197888168704
"Front Street",0.8335742985003072
"West Street",0.3909942452943474
"Osborn Avenue",0.3592667743210103
"Atwater Street",0.243136693775365
"Baldwin Street",0.1043320811267638
"Haven Street",0.09599628569582537
"Pond Lily Avenue",0.3973804177186064
"Valley Street",1.046821178856678
"Bishop Street",0.5936030924077824
"Judson Avenue",0.3439035498192513
"Rock Creek Road",0.3992181907311242
"East Pearl Street",0.1705197393800624
"Concord Street",0.4973774315054536
"Fountain Street",2.272319339922102
"Blatchley Avenue",0.3811082766709571
"New Street",0.06881048436130797
"Wright Avenue",0.1820278939508383
"Assumption Street",0.138694710504347
"South Genesee Street",0.1628525863822776
"Alden Avenue",0.424334371149761
"Gilbert Avenue",0.4632151752816078
"Hedge Street",0.02502254144105321
"Girard Avenue",0.3667646425302019
"Amistad Street",0.2265677860265289
"Hazel Street",0.5753379908923297
"Ives Place",0.2664625721918805
"Foxon Road",0
"Mead Street",0.06823767191911678
"Gold Street",0.07144832474662366
"Cherry Ann Street",0.005074584611732683
"Tilton Street",0.1608027437790236
"White Street",0.1377637829697964
"Olive Street",0.2671775652732265
"Greene Street",0.3162579418524356
"Auburn Street",0.06905647650243518
"Kensington Street",0.1297747110897872
"Stiles Street",0.155641223944134
"Ellsworth Avenue",0.7660805701464376
"Harrison Street",0.09206786382984072
"Loop Road",0.01988139422185203
"Houston Street",0.1052526651881451
"Lenox Street",0.4395843122046764
"Cove Place",0.01140689635971515
"Clifford Terrace",0.1798595619369644
"Hopkins Drive",0.04051783193499021
